Lord ID,Name,Division,Alliance ID,Alliance Tag,Current Power,Power,Merits,Units Killed,Units Dead,Units Healed,T1 Kill Count,T2 Kill Count,T3 Kill Count,T4 Kill Count,T5 Kill Count,Building Power,Hero Power,Legion Power,Tech Power,Victories,Defeats,City Sieges,Scouted,Helps Given,Gold,Gold Spent,Wood,Wood Spent,Ore,Ore Spent,Mana,Mana Spent,Gems,Gems Spent,Resources Given,Resources Given Count,City Level,Faction
5105764,ᴿᴹ Anrchy,106,197524,MLS,"9,14,73,360","9,14,73,360","18,38,491","7,29,90,588","8,58,235","11,08,09,995","48,24,339","12,19,031","39,70,246","5,55,01,180","73,62,851","1,86,80,998","94,42,830","3,19,22,000","3,11,71,532","85,204","7,010",58,161,"1,08,085","2,54,81,86,883","4,26,38,31,829","2,59,27,12,208","4,51,49,04,141","1,92,29,41,530","3,10,22,95,498","97,44,47,771","2,25,14,11,592","8,434","9,68,510","12,63,80,000",32,25,Springwardens
5104853,Mac Gyver,106,197524,MLS,"8,68,14,058","8,97,10,012","53,10,053","16,41,22,793","20,15,379","27,18,09,369","1,05,12,003","26,45,162","98,01,358","12,55,78,849","1,51,40,736","1,86,80,998","70,44,550","2,93,55,979","3,17,32,531","65,256","26,867",354,636,"1,26,128","2,42,52,19,423","6,81,87,58,254","2,42,48,69,067","6,92,15,27,539","1,46,32,47,017","4,55,86,52,708","2,53,95,56,952","4,14,50,61,343","6,585","7,84,322","85,18,89,029",195,25,Wilderburg
1351495,Patriiick,106,197524,MLS,"8,58,12,183","8,58,12,183","16,51,162","7,23,79,983","16,21,089","12,71,83,079","41,23,014","7,56,677","19,99,825","4,72,33,656","1,82,34,254","1,86,80,998","49,44,660","3,25,34,870","2,94,59,655","36,472","22,373",18,15,"71,227","1,90,54,12,348","2,53,87,54,058","1,88,51,61,082","2,94,07,24,660","1,53,24,86,490","2,02,64,47,022","91,00,08,395","1,46,20,26,376",160,"2,82,553",,,25,League of Order
8442713,PØPɆɎɆ,106,197524,MLS,"8,16,56,224","8,16,56,224","1,36,95,165","14,81,68,467","6,71,991","14,50,90,379","55,00,449","7,62,325","20,34,541","11,28,94,044","2,69,60,630","1,75,48,018","70,87,320","2,75,18,195","2,94,59,655","83,089","11,635",23,268,"68,534","1,75,98,66,978","4,17,63,64,941","1,66,42,76,263","4,62,60,17,609","1,49,49,81,670","3,57,67,32,016","1,37,08,36,862","2,46,37,13,355",899,"4,83,686","15,60,25,111",33,25,League of Order
5009712,GRUNT,106,197524,MLS,"8,06,09,750","8,06,09,750","37,26,506","5,34,68,198","9,66,181","19,58,26,842","27,58,371","10,55,444","14,04,639","3,78,60,798","1,03,51,320","1,86,80,998","67,19,010","2,71,76,065","2,78,65,677","78,512","23,382",84,323,"1,03,706","2,86,90,03,380","4,40,14,69,010","2,53,12,35,459","4,80,79,93,341","2,16,85,33,370","3,17,22,73,989","1,22,56,45,786","2,32,30,77,543","1,341","5,83,405","15,30,87,398",52,25,Wilderburg
10224121,Milada,106,197524,MLS,"7,97,39,347","7,97,39,347","27,60,096","3,91,67,246","8,29,942","16,65,51,916","56,75,036","2,54,226","6,13,637","2,24,75,259","1,01,20,882","1,86,80,998","78,10,810","2,53,56,262","2,78,65,677","69,513","11,124",36,34,"1,76,736","7,46,20,47,751","7,03,75,79,358","6,82,36,53,316","6,43,24,85,959","4,30,51,74,104","4,24,90,80,947","2,07,70,31,404","2,56,47,25,376","9,816","7,57,842","1,02,12,039",5,25,League of Order
5047334,Blackspider ㋡,106,197524,MLS,"7,70,76,016","8,01,27,999","1,75,03,446","30,97,88,083","39,92,427","35,62,75,357","2,69,79,706","48,63,164","1,65,58,440","20,42,34,187","5,67,49,534","1,86,80,998","70,66,440","1,95,96,047","3,17,32,531","97,941","55,019",539,"1,193","1,77,555","2,98,08,73,587","10,26,89,54,184","3,05,12,49,662","10,49,51,65,551","1,83,45,93,304","7,09,30,84,445","3,10,08,05,346","5,39,74,90,046","1,253","16,32,133","57,40,54,377",127,25,League of Order
4743984,Baardbliksem,106,197524,MLS,"7,55,45,676","7,55,45,676","5,00,402","3,11,98,770","4,58,810","11,59,86,186","45,26,861","3,30,801","6,31,707","2,17,05,425","39,90,687","1,86,80,998","80,26,280","2,25,02,699","2,62,71,699","53,111","8,033",14,155,"64,027","2,65,43,36,340","4,38,24,81,468","3,36,91,62,445","4,45,00,66,051","2,58,84,62,035","3,08,17,47,921","1,08,36,13,618","2,02,08,15,648",148,"6,63,158","42,11,87,819",87,25,League of Order
5118515,FlyingRed,106,197524,MLS,"7,35,74,438","7,35,74,438","14,31,271","3,54,55,588","12,59,595","15,46,85,321","8,92,864","2,39,079","6,46,089","2,64,30,875","71,98,563","1,86,80,998","62,46,790","2,18,54,532","2,67,92,118","68,553","17,705",142,172,"69,835","2,45,13,37,125","3,87,89,47,724","2,22,58,75,886","3,97,79,02,188","1,65,13,55,403","2,77,47,11,143","96,77,24,158","1,90,46,38,955","1,375","6,13,046","17,37,91,004",52,25,League of Order
5313128,ᴹᴸˢHeiimdall,106,197524,MLS,"7,20,01,705","7,20,55,045","56,25,556","6,34,20,173","10,05,782","21,89,91,459","60,93,472","3,70,669","9,98,663","4,70,19,399","88,46,969","1,86,80,998","72,15,210","2,14,45,618","2,46,59,879","49,874","23,026",99,248,"80,937","2,55,04,75,398","6,16,35,36,350","2,55,71,81,021","5,95,60,22,923","1,91,40,92,637","4,32,34,23,591","1,31,53,89,966","2,58,64,76,371","4,397","6,57,041","99,21,67,766",206,25,Springwardens
4980963,lilsleepy909,106,197524,MLS,"6,98,73,134","6,98,73,134","75,18,575","10,71,14,010","4,55,021","18,12,37,919","86,34,543","13,07,844","41,66,431","7,84,77,189","1,44,93,095","1,59,33,981","72,20,540","2,20,40,892","2,46,77,721","51,236","19,945",86,312,"89,564","2,14,59,20,014","5,35,49,23,144","2,20,23,49,190","5,30,68,19,811","1,93,69,41,501","3,96,28,50,119","1,36,34,97,566","2,19,47,19,197","6,116","6,08,883","98,31,94,510",250,25,League of Order
4581602,Burli,106,355714,phx1,"6,98,54,895","6,98,65,879","24,274","5,63,03,470","1,14,370","15,12,59,311","6,33,107","16,33,948","21,69,747","4,91,97,746","26,46,494","1,86,80,998","60,45,780","2,29,48,637","2,21,79,480","79,379","11,128",31,79,"80,469","2,41,09,56,686","4,59,73,86,145","2,29,53,11,387","4,66,07,19,644","1,52,56,49,112","3,29,31,55,309","77,20,75,776","2,21,44,74,891","52,989","3,03,050","1,75,14,52,344",361,25,Springwardens
4857615,Andycapp,106,197524,MLS,"6,90,67,289","6,90,67,289","4,66,395","2,68,52,121","1,59,965","6,88,65,997","5,46,796","1,35,506","8,20,500","2,19,07,352","34,27,432","1,86,80,998","64,26,520","1,77,76,024","2,61,83,747","41,950","6,206",9,65,"60,867","2,19,03,29,710","2,86,60,42,353","2,18,78,84,260","2,95,78,39,507","1,79,31,59,801","2,00,74,19,357","84,80,84,248","1,02,53,60,414",80,"10,63,273","8,30,98,988",22,25,League of Order
4302182,Carrascox5,106,197524,MLS,"6,84,30,919","6,84,59,763","31,77,278","15,13,60,383","7,21,813","23,76,87,550","34,37,003","38,67,506","82,63,400","11,25,68,299","2,30,82,300","1,63,48,382","61,12,120","2,49,84,476","2,09,85,941","61,597","23,884",151,579,"95,596","2,66,65,21,742","4,97,62,08,173","2,66,88,03,445","5,30,21,46,474","1,66,94,30,833","3,56,04,51,404","1,28,79,45,576","2,15,95,52,116",71,"2,54,742","15,64,72,660",32,25,Wilderburg
4937591,Durian King,106,197524,MLS,"6,31,84,301","6,31,84,301","19,96,560","3,15,28,284","11,12,778","14,55,77,027","13,11,154","2,24,724","3,84,244","2,32,82,587","62,40,678","1,86,80,998","50,27,650","1,84,72,802","2,10,02,851","43,074","8,419",128,155,"1,04,243","2,42,59,19,942","5,72,99,03,180","2,53,92,45,293","5,65,27,43,321","1,68,13,25,809","4,06,03,22,765","1,10,48,54,893","2,80,91,76,244","47,140","2,31,996","10,07,10,472",25,25,Wilderburg
5021925,Lord Bismarck,106,197524,MLS,"6,31,70,925","6,31,70,925","8,75,267","3,51,90,646","3,39,753","15,75,88,599","14,35,474","3,95,465","8,22,266","2,93,83,733","31,41,892","1,86,80,998","50,79,730","1,89,08,108","2,05,02,089","55,885","13,485",9,126,"85,673","3,02,20,66,259","5,58,36,18,506","3,06,05,46,895","5,66,91,01,523","2,19,67,18,120","4,16,06,29,546","1,44,30,53,739","2,97,91,79,239",810,"3,00,915","27,76,57,562",59,25,League of Order
4919405,RyuKEn,106,197524,MLS,"6,23,77,290","6,23,77,290","28,90,790","2,60,16,289","12,44,184","12,61,75,991","12,62,649","2,87,311","2,10,088","1,43,28,090","99,03,700","1,58,00,113","54,79,850","1,91,78,286","2,19,19,041","35,140","26,569",4,124,"83,819","3,53,69,94,628","4,55,46,77,296","3,49,73,74,635","4,93,53,32,663","1,83,40,49,756","2,10,86,42,793","1,09,40,00,749","1,83,97,99,736",3,"4,83,792","1,05,07,218",7,25,Wilderburg
729796,ˢᶦᵍᵐᵃ ᴅᴇʙʙʏ ᴅᴇʙ,106,197524,MLS,"6,23,23,291","6,23,23,291","1,86,600","3,91,71,016","6,91,848","8,58,58,496","11,75,072","2,77,955","10,72,517","2,78,95,329","86,41,651","1,49,95,488","41,19,690","2,00,28,721","2,31,64,992","52,936","5,936",21,110,"1,34,820","3,24,19,58,042","4,66,97,42,204","2,99,62,72,358","4,67,66,25,524","2,54,86,78,376","3,50,04,12,478","1,20,14,63,275","1,32,94,36,293","39,570","3,86,887","6,30,09,47,437","1,433",25,League of Order
4439541,Alexis8bcax1,106,197524,MLS,"6,14,82,994","6,14,82,994","60,17,031","11,84,54,263","17,97,332","21,29,75,474","55,41,793","15,61,252","21,69,850","9,24,81,684","1,64,90,218","1,48,75,883","66,14,960","1,53,14,430","2,46,77,721","67,158","19,428",205,521,"99,260","75,08,77,321","4,51,62,86,336","86,43,60,911","4,90,81,80,657","1,01,77,59,710","3,86,26,86,016","56,38,39,847","2,19,70,99,800",102,"13,21,312","4,48,07,780",13,25,Wilderburg
5039197,Hubba Bubbа,106,196210,EmTm,"6,00,41,767","6,00,41,767",,"75,36,069","2,23,022","3,27,32,104","8,55,357","8,08,422","10,81,920","44,73,461","3,15,414","1,70,38,418","44,50,350","1,80,50,910","2,05,02,089","34,172","1,655",6,77,"43,571","2,31,64,30,152","1,59,43,32,220","2,30,51,42,029","1,57,55,06,900","1,77,80,54,175","1,13,19,23,585","95,84,39,013","66,09,82,800",10,"1,92,744","2,24,255",3,25,League of Order
5034004,ᴴʸShiniGami,106,197524,MLS,"5,99,38,481","5,99,52,141","12,64,195","9,61,33,173","2,99,931","10,85,35,857","97,19,147","76,09,250","98,65,733","5,72,25,011","1,16,44,063","1,67,83,618","40,27,960","1,60,17,920","2,31,08,983","35,475","7,258",111,"1,107","56,378","1,17,22,75,548","1,35,74,57,752","1,03,42,61,103","1,41,69,06,202","81,00,93,808","94,85,88,607","47,45,04,022","49,03,42,370","5,000","1,94,082","57,15,245",8,25,Wilderburg
5147911,Americano,106,197524,MLS,"5,95,78,968","5,95,78,968","27,24,847","7,11,25,911","35,62,718","17,02,18,150","76,89,391","52,37,464","47,90,516","4,47,08,212","79,61,436","1,83,21,908","54,51,280","1,73,48,647","1,84,57,133","68,909","11,310",670,"2,492","1,25,571","2,94,55,59,779","3,73,37,72,386","2,70,28,77,142","3,79,23,21,557","1,98,98,87,383","2,62,41,50,203","1,12,14,70,551","1,14,95,45,931","1,07,660","3,42,789","98,00,65,108",208,25,League of Order
5418848,Pantera I,106,355714,phx1,"5,93,52,594","5,93,65,222","9,13,422","5,64,21,830","18,28,582","20,37,75,825","27,14,324","9,66,513","21,04,571","4,49,89,337","56,34,416","1,76,27,518","54,19,980","1,51,41,068","2,11,63,092","68,968","18,476",46,365,"71,817","2,87,26,27,822","5,70,75,83,019","2,93,10,00,290","5,64,04,11,943","1,89,61,88,379","3,79,78,27,008","1,26,69,42,201","2,03,74,63,619","13,658","5,45,514","47,17,33,672",149,25,Springwardens
5591788,HRC,106,355714,phx1,"5,85,31,499","5,85,31,499","63,347","81,40,069","7,60,611","9,57,58,563","1,91,803","95,790","3,13,787","67,79,354","7,41,848","1,86,80,998","39,63,100","1,70,59,353","1,88,28,048","51,188","4,366",7,98,"75,078","2,07,47,29,560","3,04,81,68,949","2,55,23,19,740","3,09,41,48,012","1,99,28,78,650","2,47,30,92,690","1,30,66,19,277","1,47,45,25,527","65,172","2,17,860","13,80,00,001",28,25,League of Order
5030658,lady sif 24,106,355714,phx1,"5,81,65,292","5,81,65,292","21,38,130","7,80,26,924","6,86,855","19,78,07,377","25,65,337","11,62,700","28,93,816","6,31,46,028","82,33,653","1,30,23,681","72,75,950","2,25,77,120","1,52,88,541","49,410","25,474",56,296,"1,47,114","40,54,65,125","4,43,25,54,880","41,16,67,107","4,72,04,23,209","38,99,83,087","3,22,43,94,915","46,82,10,216","1,65,52,03,049",80,"8,54,021","1,95,20,02,748",624,25,Springwardens
4398492,Mahogany Drew,106,197524,MLS,"5,77,71,310","5,77,81,129","75,232","20,85,350","1,52,411","3,27,37,323","2,83,879","58,739","3,69,653","11,80,731","1,92,348","1,60,52,139","45,19,440","1,92,58,191","1,79,41,540","74,577","1,387",,1,"65,707","2,57,64,60,104","3,48,78,18,370","2,60,89,45,914","3,33,77,13,483","1,79,42,81,874","2,44,42,99,198","1,14,96,56,645","1,88,27,36,775","88,723","3,54,150",,,25,Springwardens
5381503,Que Pasa,106,355714,phx1,"5,73,45,749","5,73,45,749","1,33,642","2,96,81,763","8,63,118","12,26,02,118","2,83,199","1,45,208","9,62,106","2,57,26,277","25,38,510","1,82,23,838","49,79,010","1,92,77,864","1,48,65,037","40,707","9,212",,95,"1,00,748","2,59,17,35,066","4,47,78,26,352","2,57,41,14,002","5,07,74,63,235","2,20,67,60,720","3,85,76,58,600","1,24,72,79,939","2,62,16,33,589","77,565","4,06,393","64,49,28,427",132,25,League of Order
5220385,Catfish hunter,106,197524,MLS,"5,65,89,062","5,65,89,062","12,63,369","49,44,888","5,63,075","4,93,59,401","47,689","1,86,338","7,04,266","24,96,822","15,06,536","1,78,27,608","38,22,830","1,37,75,532","2,11,63,092","51,574","3,460",16,5,"54,760","3,36,41,21,650","4,38,05,64,153","3,37,24,76,924","4,44,40,62,091","1,85,17,97,937","2,87,22,74,863","98,85,32,712","2,13,95,24,569","67,170","3,12,903","10,50,00,000",21,25,League of Order
5012116,Tbailey360,106,197524,MLS,"5,49,73,948","5,49,73,948",,"1,58,50,918","5,64,264","5,83,46,055","2,15,321","3,30,357","5,55,783","1,34,02,858","13,00,581","1,45,54,437","48,11,930","1,57,66,495","1,98,41,086","10,609","4,642",37,138,"47,235","1,68,83,74,826","2,29,64,60,713","1,66,92,67,129","2,30,08,69,992","1,39,72,08,430","1,74,21,04,148","89,64,78,003","1,03,62,51,528",657,"4,87,401","11,29,87,669",27,25,Springwardens
134974,Homura,106,197524,MLS,"5,49,17,602","5,49,17,602","21,15,910","7,99,49,868","21,67,070","13,05,65,959","69,91,613","32,98,564","72,02,202","5,58,29,391","58,91,876","1,29,98,005","44,80,330","1,81,71,880","1,92,67,387","50,998","10,671",763,697,"55,536","1,24,37,09,857","2,56,40,48,423","1,35,66,09,093","2,69,78,87,461","1,25,69,39,309","2,09,63,26,956","93,12,81,801","1,26,08,93,162",41,"1,95,852","1,00,00,000",2,25,League of Order
13504632,đi đủ đường,106,197524,MLS,"5,41,39,651","5,41,39,651","54,31,589","3,39,15,916","7,72,771","18,47,35,332","11,20,054","16,189","1,76,988","2,28,38,850","97,55,954","1,85,03,428","43,84,840","1,46,25,784","1,66,25,599","56,171","15,465",35,28,"47,269","2,37,50,20,499","6,54,31,42,786","2,23,23,52,074","6,64,93,35,675","1,41,97,11,366","4,40,02,78,105","85,79,08,866","2,32,83,28,575","6,692","2,63,591","18,33,36,466",53,25,League of Order
2783510,YUSUFF,106,197524,MLS,"5,39,80,711","5,39,80,711",,"3,65,68,735","3,21,249","9,62,59,366","10,16,713","1,32,607","9,58,521","3,10,99,964","33,33,697","1,60,38,280","47,08,950","1,60,20,538","1,72,09,543","36,593","7,529",59,245,"76,875","1,92,00,39,335","3,11,87,68,043","1,92,35,70,890","3,11,61,82,175","1,32,84,24,128","2,14,59,88,976","61,15,00,396","1,04,12,29,598","23,724","1,44,310","6,49,79,751",17,25,League of Order
5487655,ReeBaDeeN,106,197524,MLS,"5,33,20,184","5,61,63,224",,"1,15,65,167","1,11,541","4,23,55,753","6,00,719","4,07,848","9,31,544","82,01,020","13,79,804","1,86,80,998","40,26,570","87,44,185","2,18,68,431","34,757","1,931",28,158,"23,971","76,83,03,017","66,36,18,331","67,57,96,027","56,34,93,657","52,58,89,353","42,73,36,357","20,86,42,705","19,43,04,816","2,908","1,25,145","53,83,71,999",109,25,Wilderburg
4900938,傭兵Jynx,106,197524,MLS,"5,30,26,234","5,30,26,234",,"4,87,75,205","3,17,405","9,44,33,668","95,03,663","9,94,411","20,32,644","2,93,48,958","68,16,152","1,48,52,644","52,11,340","1,50,53,175","1,79,09,075","31,471","5,894",66,356,"36,641","1,51,00,43,876","3,08,68,11,397","1,49,71,95,439","3,15,24,88,133","1,26,97,15,136","2,40,71,91,779","64,71,91,930","1,24,30,23,047","8,566","3,67,884","35,06,98,809",71,25,Wilderburg
5094717,SkinJob,106,,,"5,29,86,031","5,29,86,031",,"4,64,731","3,67,884","3,80,61,700","11,325","41,406","80,872","1,95,447","1,35,681","1,55,04,156","44,93,190","1,94,81,611","1,35,07,074","41,217","2,797",,,"23,339","1,42,48,36,598","1,36,72,56,000","1,53,77,65,153","1,44,05,86,000","1,32,41,33,081","1,03,30,68,000","39,61,37,589","60,37,06,000","63,732","1,18,510",,,25,Wilderburg
5050571,Chakochayen,106,197524,MLS,"5,20,95,085","5,21,01,281",,"8,48,616","69,675","3,27,46,134","90,961","1,99,255","2,71,855","2,48,767","7,312","1,48,61,545","45,05,000","1,76,44,117","1,50,67,799","36,252","4,153",21,12,"32,839","2,96,15,37,805","1,35,95,32,500","2,62,46,44,081","1,33,43,60,500","1,85,93,52,282","1,01,66,90,350","59,48,67,016","58,51,62,750","6,503","67,910",,,25,League of Order
10849094,thànhsadboy,106,197524,MLS,"5,20,26,790","5,20,27,082","29,91,364","1,56,08,128","5,33,400","11,14,24,922","13,07,409","4,96,968","9,74,758","78,44,534","49,68,060","1,55,86,342","52,95,870","1,67,69,011","1,43,75,567","54,646","10,973",41,31,"24,074","2,29,09,85,977","4,67,11,20,847","2,24,39,33,773","4,31,94,10,198","1,46,66,91,693","3,00,44,43,415","51,07,59,540","1,50,89,70,298","43,610","4,65,994","2,18,07,067",6,25,Springwardens
4964470,Vanya 5,106,197524,MLS,"5,18,27,560","5,18,27,560","4,63,806","1,97,60,989","20,32,508","10,98,93,616","10,29,415","17,53,024","14,87,220","1,27,67,839","20,73,712","1,52,53,119","52,74,330","1,40,74,436","1,72,25,675","56,670","7,280",538,165,"77,653","3,41,90,08,595","4,10,69,53,960","3,38,74,62,284","4,27,78,45,570","2,22,67,16,262","2,94,20,63,217","1,33,30,12,809","1,92,64,12,445","78,581","2,06,607","34,20,42,076",76,25,Springwardens
5135244,GrumpyG1t,106,197524,MLS,"5,16,35,195","5,16,35,195","20,65,697","1,38,22,951","7,58,048","6,07,63,845","31,38,173","2,17,206","2,62,682","67,97,651","33,90,958","1,67,83,618","49,37,540","1,39,15,404","1,59,98,633","21,131","3,913",18,15,"38,969","1,40,72,96,947","4,20,80,41,860","1,42,83,77,036","4,38,17,35,168","1,16,79,24,588","3,11,08,67,813","1,01,15,38,554","1,90,76,16,221","15,684","3,41,304","1,20,70,506",5,25,Wilderburg
5082169,Camp738,106,197524,MLS,"5,10,30,441","5,10,73,910",,"1,13,99,447","1,31,610","2,21,43,793","16,97,802","8,61,374","16,67,022","69,66,687","1,45,455","1,23,76,360","41,40,360","1,71,88,290","1,73,25,431","46,582","1,086",66,134,"43,712","1,86,66,36,418","1,50,42,26,998","1,76,30,15,039","1,52,54,25,998","77,12,54,356","88,70,88,046","51,36,07,496","56,72,57,746","22,352","2,02,392",,,25,League of Order
10833703,sammy999,106,274042,FlSG,"5,04,74,914","5,04,74,914",,"5,96,541","87,052","1,75,94,993","38,715","75,231","1,62,180","2,70,323","44,206","1,60,70,709","52,16,620","1,55,23,512","1,36,64,073","20,036","1,140",18,22,"38,006","1,79,93,96,044","2,63,05,05,877","1,67,88,77,872","2,66,82,30,172","1,40,09,89,117","1,93,75,95,932","43,55,41,616","86,13,96,439","24,155","3,19,163","28,94,72,351",65,25,League of Order
6137431,ill fate,106,355714,phx1,"5,04,74,691","5,04,74,691","3,59,609","2,71,83,610","7,17,168","9,35,01,777","29,59,879","1,08,545","4,36,233","2,09,72,007","27,00,057","1,27,38,259","44,16,370","1,81,62,584","1,51,57,478","11,944","11,207",1,155,"60,671","83,90,66,299","3,09,61,74,600","1,31,58,95,518","3,27,92,43,482","1,20,97,07,290","2,29,30,13,585","58,63,73,680","1,22,39,20,409","1,579","2,48,345","9,70,87,178",35,25,Springwardens
14611518,ᵂʰʸF2payy K Lụy,106,197524,MLS,"5,04,57,121","5,04,57,121","20,00,278","14,02,90,816","4,48,797","14,18,92,781","2,51,59,763","10,16,174","26,00,965","9,96,06,184","1,18,90,066","1,33,00,480","54,20,330","1,47,24,982","1,70,11,329","50,767","8,004",75,537,"36,750","1,19,67,33,096","5,42,89,72,056","1,40,72,49,592","6,48,37,24,393","87,18,78,862","4,71,16,74,212","1,12,65,14,469","1,93,76,14,214","1,211","5,01,323","2,32,73,35,050",522,25,League of Order
14113585,NestlE,106,197524,MLS,"4,89,01,278","4,89,01,278","78,919","3,87,76,988","3,61,315","5,64,06,942","16,37,382","9,96,357","52,54,303","2,53,76,431","55,09,561","1,52,79,666","40,81,090","1,17,76,289","1,77,64,233","35,580","5,969",8,37,"51,348","75,36,38,007","2,93,22,94,696","78,32,39,681","3,55,97,59,381","67,60,88,186","2,47,32,51,684","28,42,50,318","1,14,95,91,566","43,943","7,18,073",,,25,League of Order
